,Freq,Real,Imag
0,1000000.0,12.286830001371003,-0.05985872021971366
1,794328.2347242822,12.286897768116724,-0.07979076768551124
2,630957.3444801943,12.287005170617862,-0.10397178520037641
3,501187.2336272725,12.287175390916538,-0.1336893216947178
4,398107.17055349774,12.287445168649175,-0.17052558832933243
5,316227.7660168379,12.28787272935196,-0.21644154031014082
6,251188.6431509582,12.288550346845186,-0.27388095232199283
7,199526.2314968883,12.289624247572904,-0.3458998550925703
8,158489.3192461114,12.291326134733628,-0.43632787717839056
9,125892.54117941688,12.29402312063019,-0.549969388406427
10,100000.0,12.298296733363538,-0.6928537707642174
11,79432.82347242821,12.305067897767579,-0.8725453841998225
12,63095.73444801943,12.315794310004895,-1.098524244694109
13,50118.72336272725,12.332781580413984,-1.3826467874762272
14,39810.71705534977,12.359672124586117,-1.7396896778808895
15,31622.776601683792,12.4022094408969,-2.1879631175264094
16,25118.864315095823,12.469423160232726,-2.7499431647955177
17,19952.62314968883,12.575442374356552,-3.4527960659064245
18,15848.93192461114,12.742210919992527,-4.3285179320554485
19,12589.254117941688,13.00340863013923,-5.413137797827227
20,10000.0,13.409767467881787,-6.743967456702197
21,7943.282347242822,14.035463584671787,-8.353207845573817
22,6309.573444801943,14.98391807440666,-10.255544573981156
23,5011.872336272725,16.388628602745317,-12.427519279792746
24,3981.071705534978,18.400782891768454,-14.779402915586706
25,3162.2776601683795,21.15327572688972,-17.128572317161307
26,2511.886431509582,24.69769170011317,-19.196166810684204
27,1995.262314968883,28.933691959419832,-20.65452670252982
28,1584.893192461114,33.5787233471061,-21.23105906558602
29,1258.925411794169,38.22368779046485,-20.823670695852716
30,1000.0,42.46360755281,-19.550822786617285
31,794.3282347242822,46.0267982267176,-17.697482822661872
32,630.9573444801943,48.82753063617843,-15.59795586432643
33,501.18723362727246,50.93365100997564,-13.532119072686829
34,398.1071705534977,52.495251456743894,-11.677768553382364
35,316.227766016838,53.68055955905893,-10.112238683537662
36,251.18864315095823,54.636377416908836,-8.836869809867833
37,199.52623149688787,55.46914924704035,-7.8054782359962465
38,158.48931924611142,56.23881112862664,-6.950827498702074
39,125.89254117941688,56.96234469234303,-6.208433059259302
40,100.0,57.6268738221395,-5.534932905641337
41,79.43282347242821,58.209101083794955,-4.915836340149945
42,63.09573444801936,58.69318892673205,-4.3606845563864
43,50.11872336272725,59.07981036530855,-3.8905214521464875
44,39.81071705534973,59.385426626606815,-3.525812225263624
45,31.622776601683796,59.636468766892804,-3.2797645517045515
46,25.11886431509582,59.86355365549993,-3.1567539845995984
47,19.952623149688808,60.097858359875,-3.152961089609232
48,15.848931924611142,60.368952507853166,-3.2569137531318346
49,12.589254117941676,60.70238948384331,-3.449582179360271
50,10.0,61.11616243247736,-3.7054571726170735
51,7.943282347242821,61.61724717324549,-3.996507909938522
52,6.309573444801936,62.201504407881046,-4.299005525302105
53,5.011872336272725,62.859572437964765,-4.599449295404103
54,3.981071705534973,63.586734370438634,-4.893877546569598
55,3.1622776601683795,64.38956112771541,-5.178437489003146
56,2.5118864315095824,65.2822966998177,-5.436461201293323
57,1.9952623149688808,66.27267661320165,-5.631895486725211
58,1.584893192461114,67.34525213899705,-5.716374677135663
59,1.2589254117941675,68.45413766524828,-5.648498563385997
60,1.0,69.53245610514084,-5.414325701317033
61,0.7943282347242817,70.51425847895858,-5.035656632373664
62,0.6309573444801934,71.35553923825873,-4.561106347535206
63,0.5011872336272725,72.04281348502539,-4.0471301399109345
64,0.3981071705534973,72.5879189457362,-3.5409624046633406
65,0.3162277660168379,73.01596812111595,-3.0726388484328933
66,0.251188643150958,73.35422777746425,-2.655794292640314
67,0.1995262314968879,73.62582010741757,-2.292921535152723
68,0.1584893192461114,73.84816043878848,-1.980852237811582
69,0.1258925411794167,74.03401697890642,-1.7142062257384332
70,0.1,74.19291658063236,-1.4866643853350716
71,0.0794328234724281,74.33165748523282,-1.2912423200473564
72,0.0630957344480193,74.45409888036997,-1.1208699992042843
73,0.0501187233627272,74.56124840154662,-0.9696626280484804
74,0.0398107170553497,74.65235925094234,-0.8341433411661323
75,0.0316227766016837,74.72664934550619,-0.7134397228219962
76,0.0251188643150957,74.78458477445922,-0.6083320408038266
77,0.0199526231496888,74.82811165377029,-0.5199402985922079
78,0.0158489319246111,74.86009725928501,-0.4488618072066428
79,0.0125892541179416,74.88360624019077,-0.39497481337383383
80,0.01,74.90141655173242,-0.3576639839615194
